BA Rating,Title,Title,Year,Length,Genres,Average Rating,Votes
7.270537619,Peranbu,Peranbu,2018,147,Drama,9.2,10531
7.226714685,Ratsasan,Ratsasan,2018,170,"Action,Crime,Thriller",8.7,12294
7.220479816,96,96,2018,158,"Drama,Romance",8.7,12030
8.4,Avengers: Infinity War,Avengers: Infinity War,2018,149,"Action,Adventure,Sci-Fi",8.5,719146
7.081560813,Vada Chennai,Vada Chennai,2018,164,"Action,Crime",8.6,7115
8.2,Spider-Man: Into the Spider-Verse,Spider-Man: Into the Spider-Verse,2018,117,"Action,Adventure,Animation",8.4,269769
7.6,Andhadhun,Andhadhun,2018,139,"Crime,Thriller",8.4,50809
7.435920898,Capernaum,Capharnaüm,2018,126,Drama,8.4,29714
7.08144806,Mahanati,Mahanati,2018,177,"Biography,Drama",8.5,7612
7.273749069,Won't You Be My Neighbor?,Won't You Be My Neighbor?,2018,94,"Biography,Documentary",8.4,18185
7.240453664,Rangasthalam,Rangasthalam,2018,170,"Action,Drama",8.4,16217
7.262475328,They Shall Not Grow Old,They Shall Not Grow Old,2018,99,"Documentary,History,War",8.3,19193
8.0,Green Book,Green Book,2018,130,"Biography,Comedy,Drama",8.2,252993
7.453223025,Free Solo,Free Solo,2018,100,"Adventure,Documentary,Sport",8.2,39527
7.05059261,South Wind,Juzni vetar,2018,130,"Crime,Drama,Thriller",8.3,7399
7.326878203,K.G.F: Chapter 1,K.G.F: Chapter 1,2018,156,"Action,Drama",8.2,26521
7.192064828,Tumbbad,Tumbbad,2018,104,"Drama,Fantasy,Horror",8.2,16239
7.13312243,The Wild Pear Tree,Ahlat Agaci,2018,188,Drama,8.1,13859
7.9,Bohemian Rhapsody,Bohemian Rhapsody,2018,134,"Biography,Drama,Music",8,388400
7.365083917,Shoplifters,Manbiki kazoku,2018,121,"Crime,Drama",8,39501
7.206914491,Badhaai Ho,Badhaai Ho,2018,124,"Comedy,Drama",8,21581
7.153889683,Padman,Padman,2018,140,"Comedy,Drama",8,17073
7.065537508,Müslüm,Müslüm,2018,136,"Biography,Drama,Music",8,10698
7.6,Isle of Dogs,Isle of Dogs,2018,101,"Adventure,Animation,Comedy",7.9,116187
7.007586321,Active Measures,Active Measures,2018,109,Documentary,8,7133
7.143787879,Dragon Ball Super: Broly,Doragon bôru chô: Burorî,2018,100,"Action,Adventure,Animation",7.9,18430
7.6,Mission: Impossible - Fallout,Mission: Impossible - Fallout,2018,147,"Action,Adventure,Thriller",7.8,250124
7.5,Roma,Roma,2018,135,Drama,7.8,115404
7.293982419,Sanju,Sanju,2018,155,"Biography,Drama",7.8,42488
7.133325162,Raazi,Raazi,2018,138,"Action,Drama,Thriller",7.8,20115
7.06609799,Ölümlü Dünya,Ölümlü Dünya,2018,107,"Action,Comedy",7.8,13660
7.6,Deadpool 2,Deadpool 2,2018,119,"Action,Adventure,Comedy",7.7,420985
7.6,A Star Is Born,A Star Is Born,2018,136,"Drama,Music,Romance",7.7,280715
7.5,Incredibles 2,Incredibles 2,2018,118,"Action,Adventure,Animation",7.7,217516
7.4,Searching,Searching,2018,102,"Drama,Mystery,Thriller",7.7,111817
6.966989219,Goodachari,Goodachari,2018,147,"Action,Thriller",7.8,6044
7.123466758,Stree,Stree,2018,128,"Comedy,Horror",7.7,22399
7.087920664,Parmanu: The Story of Pokhran,Parmanu: The Story of Pokhran,2018,129,"Action,Drama,History",7.7,18174
7.083947092,Three Identical Strangers,Three Identical Strangers,2018,96,"Biography,Documentary,Drama",7.7,17732
7.049594877,Bharat Ane Nenu,Bharat Ane Nenu,2018,173,"Action,Drama",7.7,14136
6.986642383,Never Look Away,Werk ohne Autor,2018,189,"Drama,History,Romance",7.7,8445
7.4,The Favourite,The Favourite,2018,119,"Biography,Drama,History",7.6,133933
6.964978361,Geetha Govindam,Geetha Govindam,2018,142,"Drama,Romance",7.7,6712
7.3,"Love, Simon","Love, Simon",2018,110,"Comedy,Drama,Romance",7.6,86055
6.955453739,Aravindha Sametha Veera Raghava,Aravindha Sametha Veera Raghava,2018,162,"Action,Drama",7.7,5982
7.179369726,Cold War,Zimna wojna,2018,89,"Drama,History,Music",7.6,37393
7.159462981,Hotel Mumbai,Hotel Mumbai,2018,123,"Drama,History,Thriller",7.6,33428
7.136183757,Burning,Beoning,2018,148,"Drama,Mystery",7.6,29223
6.984629332,Happy as Lazzaro,Lazzaro felice,2018,128,"Drama,Fantasy",7.6,9625
7.4,A Quiet Place,A Quiet Place,2018,90,"Drama,Horror,Sci-Fi",7.5,329157
6.950301613,Birds of Passage,Pájaros de verano,2018,125,"Crime,Drama",7.6,6456
7.4,Ready Player One,Ready Player One,2018,140,"Action,Adventure,Sci-Fi",7.5,318183
7.4,BlacKkKlansman,BlacKkKlansman,2018,135,"Biography,Crime,Drama",7.5,166589
7.3,Upgrade,Upgrade,2018,100,"Action,Horror,Sci-Fi",7.5,117356
7.109858968,The Guilty,Den skyldige,2018,85,"Crime,Drama,Thriller",7.5,31344
6.981058232,October,October,2018,115,"Drama,Romance",7.5,11067
6.966133874,Karwaan,Karwaan,2018,114,"Comedy,Drama",7.5,9350
6.96245133,RBG,RBG,2018,98,"Biography,Documentary",7.5,8941
