name,nationality,team,maps,rounds,KD-diff,KD,rating,event,event_ID,Full name,Player ID,Full link
ZywOo,France,Vitality,10,277,92,1.6,1.39,BLAST.tv Paris Major 2023,6973,Mathieu 'ZywOo' Herbaut,11893,https://www.hltv.org/player/11893/zywoo
iM,Romania,GamerLegion,12,306,68,1.34,1.35,BLAST.tv Paris Major 2023,6973,Mihai 'iM' Ivan,14759,https://www.hltv.org/player/14759/im
Spinx,Israel,Vitality,10,277,50,1.3,1.24,BLAST.tv Paris Major 2023,6973,Lotan 'Spinx' Giladi,18221,https://www.hltv.org/player/18221/spinx
NAF,Canada,Liquid,9,245,32,1.22,1.24,BLAST.tv Paris Major 2023,6973,Keith 'NAF' Markovic,8520,https://www.hltv.org/player/8520/naf
YEKINDAR,Latvia,Liquid,9,245,30,1.19,1.2,BLAST.tv Paris Major 2023,6973,Mareks 'YEKINDAR' GaÄ¼inskis,13915,https://www.hltv.org/player/13915/yekindar
broky,Latvia,FaZe,13,357,58,1.27,1.19,BLAST.tv Paris Major 2023,6973,Helvijs 'broky' Saukants,18053,https://www.hltv.org/player/18053/broky
stavn,Denmark,Heroic,11,292,32,1.17,1.19,BLAST.tv Paris Major 2023,6973,Martin 'stavn' Lund,10994,https://www.hltv.org/player/10994/stavn
NiKo,Bosnia and Herzegovina,G2,7,196,21,1.17,1.18,BLAST.tv Paris Major 2023,6973,Nikola 'NiKo' KovaÄ,3741,https://www.hltv.org/player/3741/niko
headtr1ck,Ukraine,Ninjas in Pyjamas,7,196,41,1.37,1.18,BLAST.tv Paris Major 2023,6973,Daniil 'headtr1ck' Valitov,19592,https://www.hltv.org/player/19592/headtr1ck
ropz,Estonia,FaZe,13,357,58,1.27,1.18,BLAST.tv Paris Major 2023,6973,Robin 'ropz' Kool,11816,https://www.hltv.org/player/11816/ropz
cadiaN,Denmark,Heroic,11,292,41,1.25,1.16,BLAST.tv Paris Major 2023,6973,Casper 'cadiaN' MÃ¸ller,7964,https://www.hltv.org/player/7964/cadian
BOROS,Jordan,Monte,8,205,6,1.04,1.15,BLAST.tv Paris Major 2023,6973,Mohammad 'BOROS' Malhas,19763,https://www.hltv.org/player/19763/boros
NertZ,Israel,ENCE,5,126,14,1.17,1.15,BLAST.tv Paris Major 2023,6973,Guy 'NertZ' Iluz,9436,https://www.hltv.org/player/9436/nertz
Magisk,Denmark,Vitality,10,277,21,1.12,1.14,BLAST.tv Paris Major 2023,6973,Emil 'Magisk' Reif,9032,https://www.hltv.org/player/9032/magisk
jks,Australia,G2,7,196,18,1.15,1.14,BLAST.tv Paris Major 2023,6973,Justin 'jks' Savage,4679,https://www.hltv.org/player/4679/jks
gxx-,Kosovo,Bad News Eagles,6,161,12,1.12,1.13,BLAST.tv Paris Major 2023,6973,Genc 'gxx-' Kolgeci,19725,https://www.hltv.org/player/19725/gxx
mezii,United Kingdom,fnatic,9,253,24,1.15,1.13,BLAST.tv Paris Major 2023,6973,William 'mezii' Merriman,18462,https://www.hltv.org/player/18462/mezii
juanflatroo,Kosovo,Bad News Eagles,6,161,9,1.08,1.12,BLAST.tv Paris Major 2023,6973,Flatron 'juanflatroo' Halimi,17147,https://www.hltv.org/player/17147/juanflatroo
oSee,United States,Liquid,9,245,38,1.27,1.11,BLAST.tv Paris Major 2023,6973,Josh 'oSee' Ohm,13249,https://www.hltv.org/player/13249/osee
dupreeh,Denmark,Vitality,10,277,11,1.07,1.11,BLAST.tv Paris Major 2023,6972,Peter 'dupreeh' Rasmussen,7398,https://www.hltv.org/player/7398/dupreeh
CYPHER,United Kingdom,Into the Breach,10,265,-8,0.96,1.11,BLAST.tv Paris Major 2023,6973,Cai 'CYPHER' Watson,18571,https://www.hltv.org/player/18571/cypher
m0NESY,Russia,G2,7,196,6,1.05,1.11,BLAST.tv Paris Major 2023,6973,Ilya 'm0NESY' Osipov,19230,https://www.hltv.org/player/19230/m0nesy
