name,Player ID,event_ID,Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,Event link
NertZ,9436,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/9436/NertZ?event=6793
gxx-,19725,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/19725/gxx-?event=6793
mezii,18462,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/18462/mezii?event=6793
juanflatroo,17147,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/17147/juanflatroo?event=6793
CYPHER,18571,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/18571/CYPHER?event=6793
acoR,10330,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/10330/acoR?event=6793
jkaem,8248,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/8248/jkaem?event=6793
CRUC1AL,7996,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/7996/CRUC1AL?event=6793
sdy,12731,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/12731/sdy?event=6793
Perfecto,16947,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/16947/Perfecto?event=6793
nawwk,13670,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/13670/nawwk?event=6793
Woro2k,16885,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/16885/Woro2k?event=6793
nicoodoz,13602,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/13602/nicoodoz?event=6793
DemQQ,19733,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/19733/DemQQ?event=6793
siuhy,16820,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/16820/siuhy?event=6793
electroNic,8918,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/8918/electroNic?event=6793
volt,20358,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/20358/volt?event=6793
rallen,5388,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/5388/rallen?event=6793
isak,17937,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/17937/isak?event=6793
nitr0,7687,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/7687/nitr0?event=6793
kRaSnaL,20282,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/20282/kRaSnaL?event=6793
kyxsan,19677,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/19677/kyxsan?event=6793
Goofy,15428,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/15428/Goofy?event=6793
KSCERATO,15631,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/15631/KSCERATO?event=6793
rigoN,12708,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/12708/rigoN?event=6793
roeJ,14419,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/14419/roeJ?event=6793
sinnopsyy,18120,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/18120/sinnopsyy?event=6793
STYKO,6904,6793,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,https://www.hltv.org/stats/players/individual/6904/STYKO?event=6793
