nationality,Flag URL
Kazakhstan,
Denmark,https://www.hltv.org/img/static/flags/30x20/DK.gif
Indonesia,
Canada,
Norway,
Jordan,
Sweden,
Australia,
United States,https://www.hltv.org/img/static/flags/30x20/US.gif
Bulgaria,
United Kingdom,
Finland,
Russia,
Uzbekistan,
Montenegro,
Estonia,
France,
Netherlands,
Lithuania,
Brazil,
Switzerland,
Ukraine,
Germany,https://www.hltv.org/img/static/flags/30x20/DE.gif
Latvia,
Romania,
Turkey,
Belgium,
Poland,
Kosovo,
Hungary,
Israel,https://www.hltv.org/img/static/flags/30x20/IL.gif
Spain,
North Macedonia,
India,
Slovakia,
Bosnia and Herzegovina,
Serbia,
China,
Portugal,
Czech Republic,
South Africa,
New Zealand,
