name,idevent,Player ID,event_ID,Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,Event link
fitch,10052;3247,10052,3247,52,91,0.57,0.4,36,-39,7,13,0.54,0.77,71.40%,8.30%,93,25,7,3,1,0,39,2,5,6,0,0,https://www.hltv.org/stats/players/individual/10052/fitch?event=3247
fitch,10052;3883,10052,3883,102,139,0.73,0.55,69,-37,16,24,0.67,0.88,68.80%,13.80%,117,45,17,5,2,0,68,0,8,24,2,0,https://www.hltv.org/stats/players/individual/10052/fitch?event=3883
HooXi,10096;4866,10096,4866,134,162,0.83,0.57,91,-28,17,27,0.63,0.84,82.40%,11.70%,143,60,22,7,1,1,100,5,10,18,1,0,https://www.hltv.org/stats/players/individual/10096/HooXi?event=4866
HooXi,10096;6793,10096,6793,88,134,0.66,0.45,66,-46,16,21,0.76,0.9,81.20%,12.90%,130,46,18,2,0,0,62,0,6,17,3,1,https://www.hltv.org/stats/players/individual/10096/HooXi?event=6793
xccurate,10263;3564,10263,3564,72,73,0.99,0.73,48,-1,6,8,0.75,0.84,50.00%,8.10%,50,29,15,3,1,0,15,37,4,14,1,1,https://www.hltv.org/stats/players/individual/10263/xccurate?event=3564
acoR,10330;4866,10330,4866,107,122,0.88,0.58,69,-15,13,17,0.76,0.86,61.50%,8.90%,116,40,20,9,0,0,20,61,5,17,4,1,https://www.hltv.org/stats/players/individual/10330/acoR?event=4866
acoR,10330;6793,10330,6793,210,172,1.22,0.69,141,38,33,37,0.89,1,72.70%,14.10%,165,88,41,8,4,0,43,126,7,33,2,3,https://www.hltv.org/stats/players/individual/10330/acoR?event=6793
Twistzz,10394;3247,10394,3247,72,64,1.12,0.73,45,8,10,10,1,1.01,90.00%,20.00%,53,24,15,6,0,0,46,0,10,16,0,0,https://www.hltv.org/stats/players/individual/10394/Twistzz?event=3247
Twistzz,10394;3564,10394,3564,155,115,1.35,0.75,96,40,14,13,1.08,0.9,64.30%,8.30%,110,53,29,12,2,0,117,0,4,33,1,0,https://www.hltv.org/stats/players/individual/10394/Twistzz?event=3564
Twistzz,10394;3883,10394,3883,122,104,1.17,0.7,76,18,11,13,0.85,0.86,72.70%,8.80%,98,44,20,10,2,0,93,1,2,24,2,0,https://www.hltv.org/stats/players/individual/10394/Twistzz?event=3883
