name,Player ID,event_ID,Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,Event link
BOROS,19763,6793,161,155,1.04,0.79,102,6,41,34,1.21,1.39,61.00%,24.30%,103,56,34,11,1,0,123,3,3,29,3,2,https://www.hltv.org/stats/players/individual/19763/BOROS?event=6973
Lucky,13497,4443,143,156,0.92,0.61,100,-13,16,34,0.47,0.77,62.50%,8.80%,135,66,27,5,2,0,99,8,12,23,2,0,https://www.hltv.org/stats/players/individual/13843/Lucky?event=4443
nex,9618,3883,102,85,1.2,0.77,63,17,13,6,2.17,1.08,69.20%,14.10%,70,34,20,8,1,0,82,0,6,13,1,0,https://www.hltv.org/stats/players/individual/9618/nex?event=3883
Lucky,13497,3883,87,90,0.97,0.61,60,-3,4,7,0.57,0.73,25.00%,1.60%,82,39,16,4,1,0,55,13,1,17,1,0,https://www.hltv.org/stats/players/individual/13843/Lucky?event=3883
nex,9618,3564,85,89,0.96,0.64,55,-4,10,8,1.25,0.94,80.00%,12.50%,78,34,16,2,2,1,63,0,5,17,0,0,https://www.hltv.org/stats/players/individual/13843/Lucky?event=3884
yay,8513,3564,81,83,0.98,0.68,55,-2,10,20,0.5,0.81,100.00%,15.60%,64,37,12,4,2,0,60,1,12,8,0,0,https://www.hltv.org/stats/players/individual/13843/Lucky?event=3885
jR,18714,3564,63,62,1.02,0.65,43,1,7,12,0.58,0.82,100.00%,15.60%,54,29,8,6,0,0,18,27,5,13,0,0,https://www.hltv.org/stats/players/individual/13843/Lucky?event=3886
DD,7026,3564,63,79,0.8,0.64,48,-16,14,9,1.56,1.23,42.90%,16.20%,50,35,11,2,0,0,44,0,5,14,0,0,https://www.hltv.org/stats/players/individual/13843/Lucky?event=3887
jR,18714,3247,62,88,0.7,0.55,46,-26,14,15,0.93,1.07,78.60%,26.20%,66,33,10,3,0,0,13,30,6,13,0,0,https://www.hltv.org/stats/players/individual/13843/Lucky?event=3888
nex,9618,3247,49,69,0.71,0.54,29,-20,4,11,0.36,0.69,100.00%,13.30%,61,16,7,5,1,0,27,0,7,14,1,0,https://www.hltv.org/stats/players/individual/13843/Lucky?event=3889
ngiN,9857,3247,67,95,0.71,0.48,56,-28,9,9,1,0.88,88.90%,11.30%,84,46,9,1,0,0,37,3,7,19,1,0,https://www.hltv.org/stats/players/individual/13843/Lucky?event=3890
nex,9618,2720,129,104,1.24,0.76,90,25,10,9,1.11,0.87,70.00%,8.00%,80,57,28,4,1,0,97,2,11,16,4,0,https://www.hltv.org/stats/players/individual/13843/Lucky?event=3891
jR,18714,2720,35,55,0.64,0.5,24,-20,4,10,0.4,0.71,50.00%,9.10%,46,17,3,4,0,0,2,23,1,9,0,0,https://www.hltv.org/stats/players/individual/13843/Lucky?event=3892
nex,9618,2062,58,72,0.81,0.56,41,-14,4,11,0.36,0.68,50.00%,4.70%,62,27,11,3,0,0,39,0,3,16,0,0,https://www.hltv.org/stats/players/individual/13843/Lucky?event=3893
nex,9618,2027,89,120,0.74,0.55,67,-31,8,11,0.73,0.8,87.50%,9.50%,95,49,14,4,0,0,65,0,3,19,2,1,https://www.hltv.org/stats/players/individual/13843/Lucky?event=3894
nex,9618,1617,98,95,1.03,0.74,71,3,10,8,1.25,0.94,80.00%,13.10%,61,54,9,7,0,1,67,0,1,30,0,0,https://www.hltv.org/stats/players/individual/13843/Lucky?event=3895
Hyper,7368,1617,37,37,1,0.67,28,0,6,7,0.86,1,83.30%,21.70%,27,21,5,2,0,0,29,0,0,8,0,0,https://www.hltv.org/stats/players/individual/13843/Lucky?event=3896
adreN,334,1617,35,41,0.85,0.57,27,-6,3,4,0.75,0.8,100.00%,11.50%,34,22,3,1,1,0,16,13,0,6,0,0,https://www.hltv.org/stats/players/individual/13843/Lucky?event=3897
Hyper,7368,1666,33,36,0.92,0.69,21,-3,4,8,0.5,0.81,25.00%,6.20%,27,12,7,1,1,0,29,0,1,3,0,0,https://www.hltv.org/stats/players/individual/13843/Lucky?event=3898
nex,9618,1666,38,41,0.93,0.68,26,-3,3,8,0.38,0.7,100.00%,12.50%,30,19,2,5,0,0,25,0,0,13,0,0,https://www.hltv.org/stats/players/individual/13843/Lucky?event=3899
nex,9618,1611,84,81,1.04,0.74,67,3,6,6,1,0.84,83.30%,10.00%,47,52,13,2,0,0,58,0,1,23,2,0,https://www.hltv.org/stats/players/individual/13843/Lucky?event=3900
nex,9618,1553,24,39,0.62,0.51,22,-15,2,4,0.5,0.74,50.00%,6.70%,25,20,2,0,0,0,17,0,1,6,0,0,https://www.hltv.org/stats/players/individual/13843/Lucky?event=3901
