name_x,nationality,team,maps,rounds,KD-diff,KD,rating,event,event_ID,Full name,Player ID,Full link,name_y,Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,Event link
ZywOo,France,Vitality,10,277,92,1.6,1.39,BLAST.tv Paris Major 2023,6973,Mathieu 'ZywOo' Herbaut,11893,https://www.hltv.org/player/11893/zywoo,ZywOo,160.0,95.0,1.68,0.84,99.0,65.0,25.0,15.0,1.67,1.19,92.0%,18.7%,91.0,54.0,31.0,13.0,0.0,1.0,71.0,62.0,0.0,26.0,1.0,1.0,https://www.hltv.org/stats/players/individual/11893/ZywOo?event=6973
iM,Romania,GamerLegion,12,306,68,1.34,1.35,BLAST.tv Paris Major 2023,6973,Mihai 'iM' Ivan,14759,https://www.hltv.org/player/14759/im,iM,209.0,239.0,0.87,0.64,142.0,-30.0,44.0,46.0,0.96,1.1,68.2%,18.5%,185.0,93.0,34.0,12.0,3.0,0.0,175.0,0.0,4.0,28.0,1.0,1.0,https://www.hltv.org/stats/players/individual/14759/iM?event=6973
Spinx,Israel,Vitality,10,277,50,1.3,1.24,BLAST.tv Paris Major 2023,6973,Lotan 'Spinx' Giladi,18221,https://www.hltv.org/player/18221/spinx,Spinx,135.0,107.0,1.26,0.71,98.0,28.0,23.0,20.0,1.15,1.1,78.3%,14.6%,92.0,68.0,24.0,5.0,1.0,0.0,114.0,0.0,3.0,16.0,2.0,0.0,https://www.hltv.org/stats/players/individual/18221/Spinx?event=6973
NAF,Canada,Liquid,9,245,32,1.22,1.24,BLAST.tv Paris Major 2023,6973,Keith 'NAF' Markovic,8520,https://www.hltv.org/player/8520/naf,NAF,181.0,174.0,1.04,0.66,128.0,7.0,20.0,18.0,1.11,0.92,85.0%,13.1%,146.0,84.0,37.0,5.0,2.0,0.0,145.0,2.0,6.0,28.0,0.0,3.0,https://www.hltv.org/stats/players/individual/8520/NAF?event=6973
YEKINDAR,Latvia,Liquid,9,245,30,1.19,1.2,BLAST.tv Paris Major 2023,6973,Mareks 'YEKINDAR' GaÄ¼inskis,13915,https://www.hltv.org/player/13915/yekindar,YEKINDAR,152.0,184.0,0.83,0.55,108.0,-32.0,34.0,30.0,1.13,1.1,61.8%,16.2%,166.0,73.0,28.0,5.0,2.0,0.0,115.0,6.0,7.0,18.0,6.0,0.0,https://www.hltv.org/stats/players/individual/13915/YEKINDAR?event=6973
broky,Latvia,FaZe,13,357,58,1.27,1.19,BLAST.tv Paris Major 2023,6973,Helvijs 'broky' Saukants,18053,https://www.hltv.org/player/18053/broky,broky,160.0,139.0,1.15,0.68,113.0,21.0,22.0,7.0,3.14,1.08,86.4%,14.2%,123.0,76.0,29.0,6.0,2.0,0.0,42.0,85.0,2.0,30.0,1.0,0.0,https://www.hltv.org/stats/players/individual/18053/broky?event=6973
stavn,Denmark,Heroic,11,292,32,1.17,1.19,BLAST.tv Paris Major 2023,6973,Martin 'stavn' Lund,10994,https://www.hltv.org/player/10994/stavn,stavn,149.0,123.0,1.21,0.81,104.0,26.0,23.0,17.0,1.35,1.14,73.9%,15.5%,79.0,68.0,27.0,9.0,0.0,0.0,119.0,1.0,3.0,24.0,1.0,1.0,https://www.hltv.org/stats/players/individual/10994/stavn?event=6973
NiKo,Bosnia and Herzegovina,G2,7,196,21,1.17,1.18,BLAST.tv Paris Major 2023,6973,Nikola 'NiKo' KovaÄ,3741,https://www.hltv.org/player/3741/niko,NiKo,273.0,208.0,1.31,0.82,162.0,65.0,49.0,39.0,1.26,1.21,73.5%,21.4%,169.0,86.0,49.0,19.0,8.0,0.0,215.0,11.0,0.0,46.0,2.0,0.0,https://www.hltv.org/stats/players/individual/3741/NiKo?event=6973
headtr1ck,Ukraine,Ninjas in Pyjamas,7,196,41,1.37,1.18,BLAST.tv Paris Major 2023,6973,Daniil 'headtr1ck' Valitov,19592,https://www.hltv.org/player/19592/headtr1ck,headtr1ck,220.0,159.0,1.38,0.72,146.0,61.0,29.0,15.0,1.93,1.06,75.9%,14.1%,159.0,87.0,47.0,9.0,3.0,0.0,61.0,112.0,7.0,38.0,2.0,0.0,https://www.hltv.org/stats/players/individual/19592/headtr1ck?event=6973
ropz,Estonia,FaZe,13,357,58,1.27,1.18,BLAST.tv Paris Major 2023,6973,Robin 'ropz' Kool,11816,https://www.hltv.org/player/11816/ropz,ropz,181.0,148.0,1.22,0.77,113.0,33.0,20.0,27.0,0.74,0.9,80.0%,11.9%,123.0,66.0,32.0,10.0,4.0,1.0,134.0,3.0,16.0,27.0,1.0,0.0,https://www.hltv.org/stats/players/individual/11816/ropz?event=6973
