Name,Full name,Player ID,Full link,Multiple
ZywOo,Mathieu 'ZywOo' Herbaut,11893,https://www.hltv.org/player/11893/zywoo,False
iM,Oleksandr 's1mple' Kostyliev,7998,https://www.hltv.org/player/7998/s1mple,True
Spinx,Lotan 'Spinx' Giladi,18221,https://www.hltv.org/player/18221/spinx,False
NAF,Keith 'NAF' Markovic,8520,https://www.hltv.org/player/8520/naf,True
YEKINDAR,Mareks 'YEKINDAR' Gaļinskis,13915,https://www.hltv.org/player/13915/yekindar,False
broky,Helvijs 'broky' Saukants,18053,https://www.hltv.org/player/18053/broky,False
stavn,Martin 'stavn' Lund,10994,https://www.hltv.org/player/10994/stavn,False
NiKo,Nikola 'NiKo' Kovač,3741,https://www.hltv.org/player/3741/niko,True
headtr1ck,Daniil 'headtr1ck' Valitov,19592,https://www.hltv.org/player/19592/headtr1ck,False
ropz,Robin 'ropz' Kool,11816,https://www.hltv.org/player/11816/ropz,True
cadiaN,Casper 'cadiaN' Møller,7964,https://www.hltv.org/player/7964/cadian,True
BOROS,Mohammad 'BOROS' Malhas,19763,https://www.hltv.org/player/19763/boros,True
NertZ,Guy 'NertZ' Iluz,9436,https://www.hltv.org/player/9436/nertz,False
Magisk,Emil 'Magisk' Reif,9032,https://www.hltv.org/player/9032/magisk,True
jks,Justin 'jks' Savage,4679,https://www.hltv.org/player/4679/jks,True
gxx-,Genc 'gxx-' Kolgeci,19725,https://www.hltv.org/player/19725/gxx,False
mezii,William 'mezii' Merriman,18462,https://www.hltv.org/player/18462/mezii,False
juanflatroo,Flatron 'juanflatroo' Halimi,17147,https://www.hltv.org/player/17147/juanflatroo,False
oSee,Josh 'oSee' Ohm,13249,https://www.hltv.org/player/13249/osee,True
dupreeh,Peter 'dupreeh' Rasmussen,7398,https://www.hltv.org/player/7398/dupreeh,False
CYPHER,Cai 'CYPHER' Watson,18571,https://www.hltv.org/player/18571/cypher,True
m0NESY,Ilya 'm0NESY' Osipov,19230,https://www.hltv.org/player/19230/m0nesy,True
acoR,Frederik 'acoR' Gyldstrand,10330,https://www.hltv.org/player/10330/acor,True
jkaem,Joakim 'jkaem' Myrbostad,8248,https://www.hltv.org/player/8248/jkaem,True
CRUC1AL,Joey 'CRUC1AL' Steusel,7996,https://www.hltv.org/player/7996/cruc1al,False
sdy,Viktor 'sdy' Orudzhev,12731,https://www.hltv.org/player/12731/sdy,True
Brollan,Ludvig 'Brollan' Brolin,13666,https://www.hltv.org/player/13666/brollan,False
Perfecto,Ilya 'Perfecto' Zalutskiy,16947,https://www.hltv.org/player/16947/perfecto,False
s1mple,Oleksandr 's1mple' Kostyliev,7998,https://www.hltv.org/player/7998/s1mple,True
huNter-,Nemanja 'huNter-' Kovač,3972,https://www.hltv.org/player/3972/hunter,False
nawwk,Tim 'nawwk' Jonasson,13670,https://www.hltv.org/player/13670/nawwk,False
Woro2k,Volodymyr 'Woro2k' Veletniuk,16885,https://www.hltv.org/player/16885/woro2k,False
jabbi,Jakob 'jabbi' Nygaard,17956,https://www.hltv.org/player/17956/jabbi,False
apEX,Dan 'apEX' Madesclaire,7322,https://www.hltv.org/player/7322/apex,True
nicoodoz,Nico 'nicoodoz' Tamjidi,13602,https://www.hltv.org/player/13602/nicoodoz,False
DemQQ,Sergiy 'DemQQ' Demchenko,19733,https://www.hltv.org/player/19733/demqq,False
siuhy,Kamil 'siuhy' Szkaradek,16820,https://www.hltv.org/player/16820/siuhy,False
electroNic,Denis 'electroNic' Sharipov,8918,https://www.hltv.org/player/8918/electronic,True
volt,Sebastian 'volt' Maloș,20358,https://www.hltv.org/player/20358/volt,True
rallen,Karol 'rallen' Rodowicz,5388,https://www.hltv.org/player/5388/rallen,True
Aleksib,Aleksi 'Aleksib' Virolainen,9816,https://www.hltv.org/player/9816/aleksib,False
REZ,Fredrik 'REZ' Sterner,9278,https://www.hltv.org/player/9278/rez,True
isak,Isak 'isak' Fahlén,17937,https://www.hltv.org/player/17937/isak,True
nitr0,Nick 'nitr0' Cannella,7687,https://www.hltv.org/player/7687/nitr0,False
kRaSnaL,Szymon 'kRaSnaL' Mrozek,20282,https://www.hltv.org/player/20282/krasnal,False
Twistzz,Russel 'Twistzz' Van Dulken,10394,https://www.hltv.org/player/10394/twistzz,False
kyxsan,Damjan 'kyxsan' Stoilkovski,19677,https://www.hltv.org/player/19677/kyxsan,False
b1t,Valeriy 'b1t' Vakhovskiy,18987,https://www.hltv.org/player/18987/b1t,False
sjuush,Rasmus 'sjuush' Beck,14148,https://www.hltv.org/player/14148/sjuush,False
TeSeS,René 'TeSeS' Madsen,12018,https://www.hltv.org/player/12018/teses,True
rain,Håvard 'rain' Nygaard,8183,https://www.hltv.org/player/8183/rain,True
Goofy,Krzysztof 'Goofy' Górski,15428,https://www.hltv.org/player/15428/goofy,True
KSCERATO,Kaike 'KSCERATO' Cerato,15631,https://www.hltv.org/player/15631/kscerato,True
rigoN,Rigon 'rigoN' Gashi,12708,https://www.hltv.org/player/12708/rigon,False
roeJ,Fredrik 'roeJ' Jørgensen,14419,https://www.hltv.org/player/14419/roej,False
sinnopsyy,Dionis 'sinnopsyy' Budeci,18120,https://www.hltv.org/player/18120/sinnopsyy,False
STYKO,Martin 'STYKO' Styk,6904,https://www.hltv.org/player/6904/styko,False
KRIMZ,Freddy 'KRIMZ' Johansson,7528,https://www.hltv.org/player/7528/krimz,True
jL,Justinas 'jL' Lekavicius,19206,https://www.hltv.org/player/19206/jl,True
EliGE,Jonathan 'EliGE' Jablonowski,8738,https://www.hltv.org/player/8738/elige,False
FASHR,Dion 'FASHR' Derksen,11954,https://www.hltv.org/player/11954/fashr,False
dycha,Paweł 'dycha' Dycha,16080,https://www.hltv.org/player/16080/dycha,False
SENER1,Sener 'SENER1' Mahmuti,15778,https://www.hltv.org/player/15778/sener1,False
Thomas,Thomas 'Thomas' Utting,13018,https://www.hltv.org/player/13018/thomas,True
k0nfig,Kristian 'k0nfig' Wienecke,9078,https://www.hltv.org/player/9078/k0nfig,False
SunPayus,Alvaro 'SunPayus' Garcia,19164,https://www.hltv.org/player/19164/sunpayus,False
hades,Olek 'hades' Miskiewicz,16848,https://www.hltv.org/player/16848/hades,True
arT,Andrei 'arT' Piovezan,12521,https://www.hltv.org/player/12521/art,True
Keoz,Nicolas 'Keoz' Dgus,15117,https://www.hltv.org/player/15117/keoz,False
Maden,Pavle 'Maden' Bošković,11777,https://www.hltv.org/player/11777/maden,False
karrigan,Finn 'karrigan' Andersen,429,https://www.hltv.org/player/429/karrigan,True
Kylar,Kacper 'Kylar' Walukiewicz,19114,https://www.hltv.org/player/19114/kylar,False
HooXi,Rasmus 'HooXi' Nielsen,10096,https://www.hltv.org/player/10096/hooxi,False
yuurih,Yuri 'yuurih' Santos,12553,https://www.hltv.org/player/12553/yuurih,False
Snappi,Marco 'Snappi' Pfeiffer,922,https://www.hltv.org/player/922/snappi,True
npl,Andrii 'npl' Kukharskyi,21708,https://www.hltv.org/player/21708/npl,True
mynio,Wiktor 'mynio' Kruk,4829,https://www.hltv.org/player/4829/mynio,False
saffee,Rafael 'saffee' Costa,18835,https://www.hltv.org/player/18835/saffee,False
KEi,Kamil 'KEi' Pietkun,17504,https://www.hltv.org/player/17504/kei,True
drop,André 'drop' Abreu,19750,https://www.hltv.org/player/19750/drop,True
sh1ro,Dmitry 'sh1ro' Sokolov,16920,https://www.hltv.org/player/16920/sh1ro,False
Jame,Dzhami 'Jame' Ali,13776,https://www.hltv.org/player/13776/jame,True
FL1T,Evgenii 'FL1T' Lebedev,12732,https://www.hltv.org/player/12732/fl1t,False
fame,Petr 'fame' Bolyshev,20101,https://www.hltv.org/player/20101/fame,True
Zyphon,Rasmus 'Zyphon' Nordfoss,20090,https://www.hltv.org/player/20090/zyphon,False
w0nderful,Ihor 'w0nderful' Zhdanov,20127,https://www.hltv.org/player/20127/w0nderful,True
frozen,David 'frozen' Čerňanský,9960,https://www.hltv.org/player/9960/frozen,True
Ax1Le,Sergey 'Ax1Le' Rykhtorov,16555,https://www.hltv.org/player/16555/ax1le,False
Patsi,Robert 'Patsi' Isyanov,19673,https://www.hltv.org/player/19673/patsi,False
magixx,Boris 'magixx' Vorobiev,18317,https://www.hltv.org/player/18317/magixx,True
HObbit,Abay 'HObbit' Khassenov,8528,https://www.hltv.org/player/8528/hobbit,False
nafany,Vladislav 'nafany' Gorshkov,16921,https://www.hltv.org/player/16921/nafany,False
chopper,Leonid 'chopper' Vishnyakov,7716,https://www.hltv.org/player/7716/chopper,True
n0rb3r7,David 'n0rb3r7' Danielyan,16612,https://www.hltv.org/player/16612/n0rb3r7,True
hampus,Hampus 'hampus' Poser,9766,https://www.hltv.org/player/9766/hampus,False
k1to,Nils 'k1to' Gruhne,12781,https://www.hltv.org/player/12781/k1to,False
s1ren,Pavel 's1ren' Ogloblin,18506,https://www.hltv.org/player/18506/s1ren,False
Staehr,Victor 'Staehr' Staehr,20304,https://www.hltv.org/player/20304/staehr,False
syrsoN,Florian 'syrsoN' Rische,7266,https://www.hltv.org/player/7266/syrson,False
valde,Valdemar 'valde' Bjørn Vangså,9031,https://www.hltv.org/player/9031/valde,True
torzsi,Ádám 'torzsi' Torzsás,18072,https://www.hltv.org/player/18072/torzsi,False
s1n,Elias 's1n' Stein,20104,https://www.hltv.org/player/20104/s1n,True
Krimbo,Karim 'Krimbo' Moussa,19899,https://www.hltv.org/player/19899/krimbo,False
es3tag,Patrick 'es3tag' Hansen,8611,https://www.hltv.org/player/8611/es3tag,True
Qikert,Alexey 'Qikert' Golubev,13239,https://www.hltv.org/player/13239/qikert,False
xertioN,Dorian 'xertioN' Berman,20312,https://www.hltv.org/player/20312/xertion,False
JDC,Jon 'JDC' de Castro,14929,https://www.hltv.org/player/14929/jdc,False
dexter,Christopher 'dexter' Nong,9115,https://www.hltv.org/player/9115/dexter,True
interz,Timofey 'interz' Yakushin,15071,https://www.hltv.org/player/15071/interz,False
refrezh,Ismail 'refrezh' Ali,10610,https://www.hltv.org/player/10610/refrezh,False
lauNX,Laurențiu 'lauNX' Țârlea,20761,https://www.hltv.org/player/20761/launx,True
tabseN,Johannes 'tabseN' Wodarz,5794,https://www.hltv.org/player/5794/tabsen,False
slaxz-,Fritz 'slaxz-' Dietrich,15370,https://www.hltv.org/player/15370/slaxz,False
fer,Fernando 'fer' Alvarenga,8564,https://www.hltv.org/player/8564/fer,True
degster,Abdul 'degster' Gasanov,17306,https://www.hltv.org/player/17306/degster,False
faveN,Josef 'faveN' Baumann,14932,https://www.hltv.org/player/14932/faven,False
VINI,Vinicius 'VINI' Figueiredo,12822,https://www.hltv.org/player/12822/vini,True
buster,Timur 'buster' Tulepov,11942,https://www.hltv.org/player/11942/buster,True
boltz,Ricardo 'boltz' Prass,8568,https://www.hltv.org/player/8568/boltz,True
FalleN,Gabriel 'FalleN' Toledo,2023,https://www.hltv.org/player/2023/fallen,True
JACKZ,Audric 'JACKZ' Jug,284,https://www.hltv.org/player/284/jackz,True
Boombl4,Kirill 'Boombl4' Mikhailov,11840,https://www.hltv.org/player/11840/boombl4,True
misutaaa,Kévin 'misutaaa' Rabier,14176,https://www.hltv.org/player/14176/misutaaa,False
Plopski,Nicolas 'Plopski' Gonzalez Zamora,14218,https://www.hltv.org/player/14218/plopski,False
tiziaN,Tizian 'tiziaN' Feldbusch,5796,https://www.hltv.org/player/5796/tizian,False
fnx,Lincoln 'fnx' Lau,557,https://www.hltv.org/player/557/fnx,False
shox,Richard 'shox' Papillon,1225,https://www.hltv.org/player/1225/shox,True
Bymas,Aurimas 'Bymas' Pipiras,19015,https://www.hltv.org/player/19015/bymas,False
nexa,Nemanja 'nexa' Isaković,9618,https://www.hltv.org/player/9618/nexa,True
El1an,Aleksei 'El1an' Gusev,13281,https://www.hltv.org/player/13281/el1an,False
AMANEK,François 'AMANEK' Delaunay,9616,https://www.hltv.org/player/9616/amanek,False
device,Nicolai 'device' Reedtz,7592,https://www.hltv.org/player/7592/device,False
olofmeister,Olof 'olofmeister' Kajbjer,885,https://www.hltv.org/player/885/olofmeister,True
MICHU,Michał 'MICHU' Müller,7356,https://www.hltv.org/player/7356/michu,True
Brehze,Vincent 'Brehze' Cayonte,9136,https://www.hltv.org/player/9136/brehze,False
Stewie2K,Jake 'Stewie2K' Yip,8797,https://www.hltv.org/player/8797/stewie2k,False
Forester,Igor 'Forester' Bezotecheskiy,13982,https://www.hltv.org/player/13982/forester,False
Lack1,Viktor 'Lack1' Boldyrev,13240,https://www.hltv.org/player/13240/lack1,True
gla1ve,Lukas 'gla1ve' Rossander,7412,https://www.hltv.org/player/7412/gla1ve,False
CeRq,Tsvetelin 'CeRq' Dimitrov,11219,https://www.hltv.org/player/11219/cerq,False
Krad,Vladislav 'Krad' Kravchenko,12027,https://www.hltv.org/player/12027/krad,True
Kyojin,Jayson 'Kyojin' Nguyen Van,19672,https://www.hltv.org/player/19672/kyojin,False
Lucky,Philip 'Lucky' Ewald,13843,https://www.hltv.org/player/13843/lucky,True
NickelBack,Aleksei 'NickelBack' Trofimov,11498,https://www.hltv.org/player/11498/nickelback,False
Grim,Michael 'Grim' Wince,13578,https://www.hltv.org/player/13578/grim,True
oBo,Kamil 'Sobol' Sobolewski,15940,https://www.hltv.org/player/15940/sobol,True
Xyp9x,Andreas 'Xyp9x' Højsleth,4954,https://www.hltv.org/player/4954/xyp9x,False
LNZ,Linus 'LNZ' Holtäng,19310,https://www.hltv.org/player/19310/lnz,True
doto,Joonas 'doto' Forss,9819,https://www.hltv.org/player/9819/doto,True
stanislaw,Peter 'stanislaw' Jarguz,8507,https://www.hltv.org/player/8507/stanislaw,True
allu,Aleksi 'allu' Jalli,695,https://www.hltv.org/player/695/allu,True
Kjaerbye,Markus 'Kjaerbye' Kjærbye,8394,https://www.hltv.org/player/8394/kjaerbye,False
sergej,Jere 'sergej' Salo,11916,https://www.hltv.org/player/11916/sergej,True
ottoNd,Otto 'ottoNd' Sihvo,11283,https://www.hltv.org/player/11283/ottond,True
flamie,Egor 'flamie' Vasilyev,7594,https://www.hltv.org/player/7594/flamie,True
Liazz,Jay 'Liazz' Tregillgas,10588,https://www.hltv.org/player/10588/liazz,False
tarik,Tarik 'tarik' Celik,8523,https://www.hltv.org/player/8523/tarik,True
gade,Nicklas 'gade' Gade,8875,https://www.hltv.org/player/8875/gade,True
ALEX,Alex 'ALEX' McMeekin,8184,https://www.hltv.org/player/8184/alex,True
woxic,Özgür 'woxic' Eker,8574,https://www.hltv.org/player/8574/woxic,False
aizy,Philip 'aizy' Aistrup,8095,https://www.hltv.org/player/8095/aizy,True
EspiranTo,Rokas 'EspiranTo' Milasauskas,12030,https://www.hltv.org/player/12030/espiranto,False
chrisJ,Chris 'chrisJ' de Jong,2730,https://www.hltv.org/player/2730/chrisj,False
Gratisfaction,Sean 'Gratisfaction' Kaiwai,9686,https://www.hltv.org/player/9686/gratisfaction,False
RpK,Cédric 'RpK' Guipouy,7169,https://www.hltv.org/player/7169/rpk,False
SANJI,Sanjar 'SANJI' Kuliev,11716,https://www.hltv.org/player/7169/rpk,False
Aerial,Jani 'Aerial' Jussila,4076,https://www.hltv.org/player/4076/aerial,True
kennyS,Kenny 'kennyS' Schrub,7167,https://www.hltv.org/player/7167/kennys,True
AZR,Aaron 'AZR' Ward,8082,https://www.hltv.org/player/8082/azr,True
xseveN,Sami 'xseveN' Laasanen,7248,https://www.hltv.org/player/7248/xseven,False
Zeus,Danylo 'Zeus' Teslenko,484,https://www.hltv.org/player/484/zeus,True
JUGi,Jakob 'JUGi' Hansen,8783,https://www.hltv.org/player/8783/jugi,True
Ethan,Ethan 'Ethan' Arnold,10671,https://www.hltv.org/player/10671/ethan,True
Lekr0,Jonas 'Lekr0' Olofsson,9261,https://www.hltv.org/player/9261/lekr0,False
NEO,Filip 'NEO' Kubski,165,https://www.hltv.org/player/9261/lekr0,True
AdreN,Dauren 'AdreN' Kystaubayev,334,https://www.hltv.org/player/334/adren,True
GuardiaN,Ladislav 'GuardiaN' Kovács,2757,https://www.hltv.org/player/2757/guardian,True
LUCAS1,Lucas 'LUCAS1' Teles,8566,https://www.hltv.org/player/8566/lucas1,False
TACO,Epitacio 'TACO' de Melo,9217,https://www.hltv.org/player/9217/taco,True
NBK-,Nathan 'NBK-' Schmitt,7168,https://www.hltv.org/player/7168/nbk,False
svyat,Svyatoslav 'svyat' Dovbakh,12016,https://www.hltv.org/player/12016/svyat,False
LETN1,Nestor 'LETN1' Tanić,4216,https://www.hltv.org/player/12016/svyat,False
speed4k,Anton 'speed4k' Titov,13155,https://www.hltv.org/player/13155/speed4k,False
GeT_RiGhT,Christopher 'GeT_RiGhT' Alesund,39,https://www.hltv.org/player/39/get-right,True
kinqie,Semyon 'kinqie' Lisitsyn,3459,https://www.hltv.org/player/3459/kinqie,False
Golden,Maikil 'Golden' Selim,11110,https://www.hltv.org/player/11110/golden,True
zews,Wilton 'zews' Prado,6608,https://www.hltv.org/player/6608/zews,True
f0rest,Patrik 'f0rest' Lindberg,29,https://www.hltv.org/player/29/f0rest,True
coldzera,Marcelo 'coldzera' David,9216,https://www.hltv.org/player/9216/coldzera,True
flusha,Robin 'flusha' Rönnquist,3055,https://www.hltv.org/player/3055/flusha,True
autimatic,Timothy 'autimatic' Ta,8735,https://www.hltv.org/player/8735/autimatic,False
nex,Nemanja 'nexa' Isaković,9618,https://www.hltv.org/player/9618/nexa,True
Edward,Ioann 'Edward' Sukhariev,483,https://www.hltv.org/player/483/edward,True
kioShiMa,Fabien 'kioShiMa' Fiey,4959,https://www.hltv.org/player/4959/kioshima,True
ShahZaM,Shahzeb 'ShahZaM' Khan,7810,https://www.hltv.org/player/7810/shahzam,True
ISSAA,Issa 'ISSAA' Murad,10449,https://www.hltv.org/player/10449/issaa,False
XANTARES,Ismailcan 'XANTARES' Dörtkardeş,7938,https://www.hltv.org/player/7938/xantares,True
RUSH,William 'RUSH' Wierzba,7805,https://www.hltv.org/player/7805/rush,True
felps,João 'felps' Vasconcellos,9219,https://www.hltv.org/player/9219/felps,False
FugLy,Jacob 'FugLy' Medina,8522,https://www.hltv.org/player/8522/fugly,False
Rickeh,Ricardo 'Rickeh' Mulholland,8745,https://www.hltv.org/player/8745/rickeh,False
n0thing,Jordan 'n0thing' Gilbert,203,https://www.hltv.org/player/203/n0thing,True
dephh,Rory 'dephh' Jackson,7873,https://www.hltv.org/player/203/n0thing,False
gob b,Fatih 'gob b' Dayik,136,https://www.hltv.org/player/203/n0thing,False
bodyy,Alexandre 'bodyy' Pianaro,8374,https://www.hltv.org/player/8374/bodyy,False
dennis,Dennis 'dennis' Edman,1146,https://www.hltv.org/player/1146/dennis,True
Zellsis,Jordan 'Zellsis' Montemurro,13188,https://www.hltv.org/player/13188/zellsis,False
KrizzeN,Aidyn 'KrizzeN' Turlybekov,12161,https://www.hltv.org/player/12161/krizzen,False
daps,Damian 'daps' Steele,8521,https://www.hltv.org/player/12161/krizzen,False
fitch,Bektiyar 'fitch' Bahytov,10052,https://www.hltv.org/player/10052/fitch,False
DeadFox,Bence 'DeadFox' Böröcz,8716,https://www.hltv.org/player/8716/deadfox,False
