Name,Full name,Player ID,Full link
ZywOo,Mathieu 'ZywOo' Herbaut,11893,https://www.hltv.org/player/11893/zywoo
iM,Mihai 'iM' Ivan,14759,https://www.hltv.org/player/14759/im
Spinx,Lotan 'Spinx' Giladi,18221,https://www.hltv.org/player/18221/spinx
NAF,Keith 'NAF' Markovic,8520,https://www.hltv.org/player/8520/naf
YEKINDAR,Mareks 'YEKINDAR' GaÄ¼inskis,13915,https://www.hltv.org/player/13915/yekindar
broky,Helvijs 'broky' Saukants,18053,https://www.hltv.org/player/18053/broky
stavn,Martin 'stavn' Lund,10994,https://www.hltv.org/player/10994/stavn
NiKo,Nikola 'NiKo' KovaÄ,3741,https://www.hltv.org/player/3741/niko
headtr1ck,Daniil 'headtr1ck' Valitov,19592,https://www.hltv.org/player/19592/headtr1ck
ropz,Robin 'ropz' Kool,11816,https://www.hltv.org/player/11816/ropz
cadiaN,Casper 'cadiaN' MÃ¸ller,7964,https://www.hltv.org/player/7964/cadian
BOROS,Mohammad 'BOROS' Malhas,19763,https://www.hltv.org/player/19763/boros
NertZ,Guy 'NertZ' Iluz,9436,https://www.hltv.org/player/9436/nertz
Magisk,Emil 'Magisk' Reif,9032,https://www.hltv.org/player/9032/magisk
jks,Justin 'jks' Savage,4679,https://www.hltv.org/player/4679/jks
gxx-,Genc 'gxx-' Kolgeci,19725,https://www.hltv.org/player/19725/gxx
mezii,William 'mezii' Merriman,18462,https://www.hltv.org/player/18462/mezii
juanflatroo,Flatron 'juanflatroo' Halimi,17147,https://www.hltv.org/player/17147/juanflatroo
oSee,Josh 'oSee' Ohm,13249,https://www.hltv.org/player/13249/osee
dupreeh,Peter 'dupreeh' Rasmussen,7398,https://www.hltv.org/player/7398/dupreeh
CYPHER,Cai 'CYPHER' Watson,18571,https://www.hltv.org/player/18571/cypher
m0NESY,Ilya 'm0NESY' Osipov,19230,https://www.hltv.org/player/19230/m0nesy
acoR,Frederik 'acoR' Gyldstrand,10330,https://www.hltv.org/player/10330/acor
jkaem,Joakim 'jkaem' Myrbostad,8248,https://www.hltv.org/player/8248/jkaem
CRUC1AL,Joey 'CRUC1AL' Steusel,7996,https://www.hltv.org/player/7996/cruc1al
sdy,Viktor 'sdy' Orudzhev,12731,https://www.hltv.org/player/12731/sdy
Brollan,Ludvig 'Brollan' Brolin,13666,https://www.hltv.org/player/13666/brollan
Perfecto,Ilya 'Perfecto' Zalutskiy,16947,https://www.hltv.org/player/16947/perfecto
s1mple,Oleksandr 's1mple' Kostyliev,7998,https://www.hltv.org/player/7998/s1mple
huNter-,Nemanja 'huNter-' KovaÄ,3972,https://www.hltv.org/player/3972/hunter
nawwk,Tim 'nawwk' Jonasson,13670,https://www.hltv.org/player/13670/nawwk
Woro2k,Volodymyr 'Woro2k' Veletniuk,16885,https://www.hltv.org/player/16885/woro2k
jabbi,Jakob 'jabbi' Nygaard,17956,https://www.hltv.org/player/17956/jabbi
apEX,Dan 'apEX' Madesclaire,7322,https://www.hltv.org/player/7322/apex
nicoodoz,Nico 'nicoodoz' Tamjidi,13602,https://www.hltv.org/player/13602/nicoodoz
DemQQ,Sergiy 'DemQQ' Demchenko,19733,https://www.hltv.org/player/19733/demqq
siuhy,Kamil 'siuhy' Szkaradek,16820,https://www.hltv.org/player/16820/siuhy
electroNic,Denis 'electroNic' Sharipov,8918,https://www.hltv.org/player/8918/electronic
volt,Sebastian 'volt' MaloÈ™,20358,https://www.hltv.org/player/20358/volt
rallen,Karol 'rallen' Rodowicz,5388,https://www.hltv.org/player/5388/rallen
Aleksib,Aleksi 'Aleksib' Virolainen,9816,https://www.hltv.org/player/9816/aleksib
REZ,Fredrik 'REZ' Sterner,9278,https://www.hltv.org/player/9278/rez
isak,Isak 'isak' FahlÃ©n,17937,https://www.hltv.org/player/17937/isak
nitr0,Nick 'nitr0' Cannella,7687,https://www.hltv.org/player/7687/nitr0
kRaSnaL,Szymon 'kRaSnaL' Mrozek,20282,https://www.hltv.org/player/20282/krasnal
Twistzz,Russel 'Twistzz' Van Dulken,10394,https://www.hltv.org/player/10394/twistzz
kyxsan,Damjan 'kyxsan' Stoilkovski,19677,https://www.hltv.org/player/19677/kyxsan
b1t,Valeriy 'b1t' Vakhovskiy,18987,https://www.hltv.org/player/18987/b1t
sjuush,Rasmus 'sjuush' Beck,14148,https://www.hltv.org/player/14148/sjuush
TeSeS,RenÃ© 'TeSeS' Madsen,12018,https://www.hltv.org/player/12018/teses
rain,HÃ¥vard 'rain' Nygaard,8183,https://www.hltv.org/player/8183/rain
Goofy,Krzysztof 'Goofy' GÃ³rski,15428,https://www.hltv.org/player/15428/goofy
KSCERATO,Kaike 'KSCERATO' Cerato,15631,https://www.hltv.org/player/15631/kscerato
rigoN,Rigon 'rigoN' Gashi,12708,https://www.hltv.org/player/12708/rigon
