name,Player ID,event_ID,Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,Event link
ZywOo,11893,6973,160,95,1.68,0.84,99,65,25,15,1.67,1.19,92.0%,18.7%,91,54,31,13,0,1,71,62,0,26,1,1,https://www.hltv.org/stats/players/individual/11893/ZywOo?event=6973
iM,14759,6973,209,239,0.87,0.64,142,-30,44,46,0.96,1.1,68.2%,18.5%,185,93,34,12,3,0,175,0,4,28,1,1,https://www.hltv.org/stats/players/individual/14759/iM?event=6973
Spinx,18221,6973,135,107,1.26,0.71,98,28,23,20,1.15,1.1,78.3%,14.6%,92,68,24,5,1,0,114,0,3,16,2,0,https://www.hltv.org/stats/players/individual/18221/Spinx?event=6973
NAF,8520,6973,181,174,1.04,0.66,128,7,20,18,1.11,0.92,85.0%,13.1%,146,84,37,5,2,0,145,2,6,28,0,3,https://www.hltv.org/stats/players/individual/8520/NAF?event=6973
YEKINDAR,13915,6973,152,184,0.83,0.55,108,-32,34,30,1.13,1.1,61.8%,16.2%,166,73,28,5,2,0,115,6,7,18,6,0,https://www.hltv.org/stats/players/individual/13915/YEKINDAR?event=6973
broky,18053,6973,160,139,1.15,0.68,113,21,22,7,3.14,1.08,86.4%,14.2%,123,76,29,6,2,0,42,85,2,30,1,0,https://www.hltv.org/stats/players/individual/18053/broky?event=6973
stavn,10994,6973,149,123,1.21,0.81,104,26,23,17,1.35,1.14,73.9%,15.5%,79,68,27,9,0,0,119,1,3,24,1,1,https://www.hltv.org/stats/players/individual/10994/stavn?event=6973
NiKo,3741,6973,273,208,1.31,0.82,162,65,49,39,1.26,1.21,73.5%,21.4%,169,86,49,19,8,0,215,11,0,46,2,0,https://www.hltv.org/stats/players/individual/3741/NiKo?event=6973
headtr1ck,19592,6973,220,159,1.38,0.72,146,61,29,15,1.93,1.06,75.9%,14.1%,159,87,47,9,3,0,61,112,7,38,2,0,https://www.hltv.org/stats/players/individual/19592/headtr1ck?event=6973
ropz,11816,6973,181,148,1.22,0.77,113,33,20,27,0.74,0.9,80.0%,11.9%,123,66,32,10,4,1,134,3,16,27,1,0,https://www.hltv.org/stats/players/individual/11816/ropz?event=6973
