name,Player ID,Profile picture
abE,8502,https://liquipedia.net/counterstrike/File:AbE_at_MLG_Colombus_2016.jpeg
Ace,7816,https://liquipedia.net/commons/images/thumb/f/fa/Ace_at_eXTREMESLAND_2018.JPG/600px-Ace_at_eXTREMESLAND_2018.JPG
AcilioN,8151,https://liquipedia.net/commons/images/thumb/3/34/CPHF_AcilioN_2019.png/600px-CPHF_AcilioN_2019.png
acoR,10330,https://liquipedia.net/commons/images/thumb/8/8b/AcoR_at_BLAST_Paris_Major_2023.jpeg/600px-AcoR_at_BLAST_Paris_Major_2023.jpeg
AdreN,334,https://liquipedia.net/commons/images/thumb/0/0f/AdreN_at_EPICENTER_2019.jpeg/800px-AdreN_at_EPICENTER_2019.jpeg
adreN,7433,https://liquipedia.net/commons/images/thumb/9/98/AdreN_at_PGL_Major_Antwerp_2022.jpg/600px-AdreN_at_PGL_Major_Antwerp_2022.jpg
Aerial,4076,https://liquipedia.net/commons/images/thumb/8/80/Aerial_at_EPICENTER_2018.jpg/450px-Aerial_at_EPICENTER_2018.jpg
aizy,8095,https://liquipedia.net/commons/images/thumb/4/46/Aizy_DreamHack_Open_Leipzig_2020.jpg/600px-Aizy_DreamHack_Open_Leipzig_2020.jpg
Aleksib,9816,https://liquipedia.net/commons/images/thumb/7/7b/Aleksib_at_IEM_Katowice_2023.jpg/600px-Aleksib_at_IEM_Katowice_2023.jpg
ALEX,8184,https://liquipedia.net/commons/images/thumb/4/43/ALEX_%28British_player%29_%40_EPL_S15.jpg/600px-ALEX_%28British_player%29_%40_EPL_S15.jpg
alexRr,7508,https://liquipedia.net/commons/images/thumb/4/41/AlexRr_at_ESLM_Summer_2015_Finals.jpg/600px-AlexRr_at_ESLM_Summer_2015_Finals.jpg
allu,695,https://liquipedia.net/commons/images/thumb/7/76/Allu_StarLadder_%26_i-League_CSGO_S6.jpg/450px-Allu_StarLadder_%26_i-League_CSGO_S6.jpg
AMANEK,9616,https://liquipedia.net/commons/images/thumb/b/bd/AmaNEk_%40_IEM_Cologne_2021.jpg/600px-AmaNEk_%40_IEM_Cologne_2021.jpg
ANDROID,9043,https://liquipedia.net/commons/images/b/b4/FACEIT-London-Major-Android.jpg
ANGE1,339,https://liquipedia.net/commons/images/thumb/9/9d/ANGE1_at_StarLadder_i-League_StarSeries_S4.jpg/600px-ANGE1_at_StarLadder_i-League_StarSeries_S4.jpg
anger,7438,https://liquipedia.net/commons/images/thumb/b/ba/Anger_at_DreamHack_Open_Stockholm_2015.jpg/600px-Anger_at_DreamHack_Open_Stockholm_2015.jpg
apEX,7322,https://liquipedia.net/commons/images/thumb/8/81/ApEX_at_Antwerp_Major_2022_EU_RMR.jpg/600px-ApEX_at_Antwerp_Major_2022_EU_RMR.jpg
arT,12521,https://liquipedia.net/commons/images/thumb/7/78/ArT_at_Rio_Major_2022_AME_RMR.jpg/600px-ArT_at_Rio_Major_2022_AME_RMR.jpg
arya,6453,https://liquipedia.net/commons/images/thumb/7/7b/Arya_at_DH_Austin_2016.jpg/600px-Arya_at_DH_Austin_2016.jpg
astaRR,7815,https://liquipedia.net/commons/images/1/19/Infobox_player_NoImage.png
autimatic,8735,https://liquipedia.net/commons/images/thumb/7/78/Autimatic_at_Rio_Major_2022_AME_RMR.jpg/600px-Autimatic_at_Rio_Major_2022_AME_RMR.jpg
