name,nationality,team,maps,rounds,KD-diff,KD,rating,event,event_ID,Full name,Player ID,Full link,name,Player ID,event_ID,Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,Event link
ZywOo,France,Vitality,10,277,92,1.6,1.39,BLAST.tv Paris Major 2023,6793,Mathieu 'ZywOo' Herbaut,11893,https://www.hltv.org/player/11893/zywoo,ZywOo,11893,6973,160,95,1.68,0.84,99,65,25,15,1.67,1.19,92.00%,18.70%,91,54,31,13,0,1,71,62,0,26,1,1,https://www.hltv.org/stats/players/individual/11893/ZywOo?event=6973
iM,Romania,GamerLegion,12,306,68,1.34,1.35,BLAST.tv Paris Major 2023,6793,Mihai 'iM' Ivan,14759,https://www.hltv.org/player/14759/im,iM,14759,6973,209,239,0.87,0.64,142,-30,44,46,0.96,1.1,68.20%,18.50%,185,93,34,12,3,0,175,0,4,28,1,1,https://www.hltv.org/stats/players/individual/14759/iM?event=6973
Spinx,Israel,Vitality,10,277,50,1.3,1.24,BLAST.tv Paris Major 2023,6793,Lotan 'Spinx' Giladi,18221,https://www.hltv.org/player/18221/spinx,Spinx,18221,6973,135,107,1.26,0.71,98,28,23,20,1.15,1.1,78.30%,14.60%,92,68,24,5,1,0,114,0,3,16,2,0,https://www.hltv.org/stats/players/individual/18221/Spinx?event=6973
NAF,Canada,Liquid,9,245,32,1.22,1.24,BLAST.tv Paris Major 2023,6793,Keith 'NAF' Markovic,8520,https://www.hltv.org/player/8520/naf,NAF,8520,6973,181,174,1.04,0.66,128,7,20,18,1.11,0.92,85.00%,13.10%,146,84,37,5,2,0,145,2,6,28,0,3,https://www.hltv.org/stats/players/individual/8520/NAF?event=6973
YEKINDAR,Latvia,Liquid,9,245,30,1.19,1.2,BLAST.tv Paris Major 2023,6793,Mareks 'YEKINDAR' GaÄ¼inskis,13915,https://www.hltv.org/player/13915/yekindar,YEKINDAR,13915,6973,152,184,0.83,0.55,108,-32,34,30,1.13,1.1,61.80%,16.20%,166,73,28,5,2,0,115,6,7,18,6,0,https://www.hltv.org/stats/players/individual/13915/YEKINDAR?event=6973
broky,Latvia,FaZe,13,357,58,1.27,1.19,BLAST.tv Paris Major 2023,6793,Helvijs 'broky' Saukants,18053,https://www.hltv.org/player/18053/broky,broky,18053,6973,160,139,1.15,0.68,113,21,22,7,3.14,1.08,86.40%,14.20%,123,76,29,6,2,0,42,85,2,30,1,0,https://www.hltv.org/stats/players/individual/18053/broky?event=6973
stavn,Denmark,Heroic,11,292,32,1.17,1.19,BLAST.tv Paris Major 2023,6793,Martin 'stavn' Lund,10994,https://www.hltv.org/player/10994/stavn,stavn,10994,6973,149,123,1.21,0.81,104,26,23,17,1.35,1.14,73.90%,15.50%,79,68,27,9,0,0,119,1,3,24,1,1,https://www.hltv.org/stats/players/individual/10994/stavn?event=6973
NiKo,Bosnia and Herzegovina,G2,7,196,21,1.17,1.18,BLAST.tv Paris Major 2023,6793,Nikola 'NiKo' KovaÄ,3741,https://www.hltv.org/player/3741/niko,NiKo,3741,6973,273,208,1.31,0.82,162,65,49,39,1.26,1.21,73.50%,21.40%,169,86,49,19,8,0,215,11,0,46,2,0,https://www.hltv.org/stats/players/individual/3741/NiKo?event=6973
headtr1ck,Ukraine,Ninjas in Pyjamas,7,196,41,1.37,1.18,BLAST.tv Paris Major 2023,6793,Daniil 'headtr1ck' Valitov,19592,https://www.hltv.org/player/19592/headtr1ck,headtr1ck,19592,6973,220,159,1.38,0.72,146,61,29,15,1.93,1.06,75.90%,14.10%,159,87,47,9,3,0,61,112,7,38,2,0,https://www.hltv.org/stats/players/individual/19592/headtr1ck?event=6973
ropz,Estonia,FaZe,13,357,58,1.27,1.18,BLAST.tv Paris Major 2023,6793,Robin 'ropz' Kool,11816,https://www.hltv.org/player/11816/ropz,ropz,11816,6973,181,148,1.22,0.77,113,33,20,27,0.74,0.9,80.00%,11.90%,123,66,32,10,4,1,134,3,16,27,1,0,https://www.hltv.org/stats/players/individual/11816/ropz?event=6973
